time,accX,accY,accZ,gyroX,gyroY,gyroZ,magx,magy,magz
3.2,-0.789,-0.551,-0.086,10.986,-3.357,7.751,0,0,0
3.21,-0.782,-0.565,-0.072,9.399,-0.366,9.033,0,0,0
3.22,-0.747,-0.559,-0.047,7.996,-0.549,10.254,0,0,0
3.23,-0.764,-0.579,-0.045,6.836,-1.587,11.047,0,0,0
3.24,-0.77,-0.598,-0.05,6.897,-1.343,10.864,0,0,0
3.25,-0.801,-0.631,-0.052,5.676,-2.502,11.292,0,0,0
3.26,-0.823,-0.645,-0.069,2.747,-3.967,13,0,0,0
3.27,-0.84,-0.655,-0.082,2.747,-4.395,14.16,0,0,0
3.28,-0.844,-0.664,-0.086,1.953,-4.272,16.907,0,0,0
3.29,-0.825,-0.661,-0.089,1.282,-5.615,20.874,0,0,0
3.3,-0.875,-0.697,-0.099,1.038,-6.714,24.658,0,0,0
3.31,-0.894,-0.718,-0.113,-0.366,-4.211,26.428,0,0,0
3.32,-0.892,-0.726,-0.105,-2.197,-1.831,27.71,0,0,0
3.33,-0.998,-0.806,-0.112,-4.7,-1.16,27.466,0,0,0
3.34,-1.488,-1.113,-0.226,-2.93,-7.629,28.32,0,0,0
3.35,-1.412,-1.054,-0.352,-7.751,8.972,20.02,0,0,0
3.36,-0.961,-0.803,-0.073,-13.245,20.386,20.569,0,0,0
3.37,-0.927,-0.72,-0.172,-12.878,5.127,25.574,0,0,0
3.38,-0.949,-0.69,-0.148,-8.606,-2.625,26.489,0,0,0
3.39,-1.128,-0.803,-0.205,-2.38,1.953,23.56,0,0,0
3.4,-1.166,-0.833,-0.218,-2.319,7.202,17.029,0,0,0
3.41,-1.071,-0.758,-0.186,-7.019,15.32,8.24,0,0,0
3.42,-0.967,-0.645,-0.173,-7.019,14.465,-1.038,0,0,0
3.43,-0.903,-0.59,-0.163,-5.249,14.221,-6.958,0,0,0
3.44,-0.82,-0.501,-0.137,-0.854,9.949,-13.428,0,0,0
3.45,-0.788,-0.487,-0.134,5.432,5.92,-15.442,0,0,0
3.46,-0.825,-0.519,-0.135,8.606,2.441,-13.916,0,0,0
3.47,-0.888,-0.577,-0.145,7.568,-2.441,-11.902,0,0,0
3.48,-0.9,-0.578,-0.142,3.54,-0.488,-10.62,0,0,0
3.49,-0.806,-0.519,-0.118,1.404,1.404,-8.789,0,0,0
3.5,-0.717,-0.47,-0.094,0.366,-0.732,-7.263,0,0,0
3.51,-0.668,-0.425,-0.076,-4.028,-7.019,-5.859,0,0,0
3.52,-0.661,-0.401,-0.083,-5.798,-10.376,-6.042,0,0,0
3.53,-0.654,-0.38,-0.08,-3.967,-10.986,-7.629,0,0,0
3.54,-0.657,-0.383,-0.081,-2.38,-11.536,-9.399,0,0,0
3.55,-0.655,-0.375,-0.089,-4.578,-13.184,-9.888,0,0,0
3.56,-0.66,-0.356,-0.087,-5.31,-14.221,-10.193,0,0,0
3.57,-0.677,-0.352,-0.097,-4.639,-10.864,-9.705,0,0,0
3.58,-0.654,-0.346,-0.088,-3.845,-6.836,-9.033,0,0,0
3.59,-0.624,-0.321,-0.076,-4.944,-5.371,-7.996,0,0,0
